http://www.ncbi.nlm.nih.gov/pubmed/27222721,J Pharm Policy Pract,1464943739.077621,29681,1000,27,Experiences from a pilot study on how to conduct a qualitative multi-country research project regarding use of antibiotics in Southeast Europe.,149,1464943745.881897,J Pharm Policy Pract. 2016 May 23;9:20. doi: 10.1186/s40545-016-0069-3. eCollection 2016.,0:00:06.80,Journal of pharmaceutical policy and practice,"Kaae S, Sporrong SK, Traulsen JM, Wallach Kildemoes H, Nørgaard LS, Jakupi A, Raka D, Gürpinar EU, Alkan A, Hoxha I, Malaj A, Cantarero LA.",1,Antibiotic,27222721,http://www.ncbi.nlm.nih.gov/pmc/articles/pmid/27222721/
http://www.ncbi.nlm.nih.gov/pubmed/27242671,Front Microbiol,1464943739.076328,29681,1000,14,Fecal Carriage of Staphylococcus aureus in the Hospital and Community Setting: A Systematic Review.,149,1464943746.013501,Front Microbiol. 2016 May 10;7:449. doi: 10.3389/fmicb.2016.00449. eCollection 2016. Review.,0:00:06.94,Frontiers in microbiology,"Claassen-Weitz S, Shittu AO, Ngwarai MR, Thabane L, Nicol MP, Kaba M.",1,Antibiotic,27242671,http://www.ncbi.nlm.nih.gov/pmc/articles/pmid/27242671/
http://www.ncbi.nlm.nih.gov/pubmed/27213349,Int J Mol Sci,1464943739.079486,29681,1000,40,Antibacterial Activity of Ciprofloxacin-Encapsulated Cockle Shells Calcium Carbonate (Aragonite) Nanoparticles and Its Biocompatability in Macrophage J774A.1.,149,1464943746.057228,Int J Mol Sci. 2016 May 19;17(5). pii: E713. doi: 10.3390/ijms17050713.,0:00:06.98,International journal of molecular sciences,"Isa T, Zakaria ZA, Rukayadi Y, Mohd Hezmee MN, Jaji AZ, Imam MU, Hammadi NI, Mahmood SK.",1,Antibiotic,27213349,http://www.ncbi.nlm.nih.gov/pmc/articles/pmid/27213349/
http://www.ncbi.nlm.nih.gov/pubmed/27243017,Front Surg,1464943739.075817,29681,1000,1,Prophylactic Resorbable Synthetic Mesh to Prevent Wound Dehiscence and Incisional Hernia in High High-risk Laparotomy: A Pilot Study of Using TIGR Matrix Mesh.,149,1464943747.576352,Front Surg. 2016 May 18;3:28. doi: 10.3389/fsurg.2016.00028. eCollection 2016.,0:00:08.50,Frontiers in surgery,"Söderbäck H, Mahteme H, Hellman P, Sandblom G.",1,Antibiotic,27243017,http://www.ncbi.nlm.nih.gov/pmc/articles/pmid/27243017/
http://www.ncbi.nlm.nih.gov/pubmed/27239562,mSphere,1464943746.01426,29681,1000,15,Antibiotic-Induced Alterations of the Gut Microbiota Alter Secondary Bile Acid Production and Allow for Clostridium difficile Spore Germination and Outgrowth in the Large Intestine.,149,1464943748.036083,mSphere. 2016 Jan 6;1(1). pii: e00045-15. doi: 10.1128/mSphere.00045-15. eCollection 2016 Jan-Feb.,0:00:02.02,mSphere,"Theriot CM, Bowman AA, Young VB.",1,Antibiotic,27239562,Not found
http://www.ncbi.nlm.nih.gov/pubmed/27222714,New Microbes New Infect,1464943745.882876,29681,1000,28,High prevalence of toxic shock syndrome toxin-producing epidemic methicillin-resistant Staphylococcus aureus 15 (EMRSA-15) strains in Kuwait hospitals.,149,1464943748.051182,New Microbes New Infect. 2016 Apr 1;12:24-30. doi: 10.1016/j.nmni.2016.03.008. eCollection 2016 Jul.,0:00:02.17,New microbes and new infections,"Udo EE, Boswihi SS, Al-Sweih N.",1,Antibiotic,27222714,http://www.ncbi.nlm.nih.gov/pmc/articles/pmid/27222714/
http://www.ncbi.nlm.nih.gov/pubmed/27213146,N Am J Med Sci,1464943746.057511,29681,1000,41,Fusobacterium Nucleatum: Atypical Organism of Pyogenic Liver Abscess Might be Related to Sigmoid Diverticulitis.,149,1464943748.385291,N Am J Med Sci. 2016 Apr;8(4):197-9. doi: 10.4103/1947-2714.179961.,0:00:02.33,North American journal of medical sciences,"Wijarnpreecha K, Yuklyaeva N, Sornprom S, Hyman C.",1,Antibiotic,27213146,http://www.ncbi.nlm.nih.gov/pmc/articles/pmid/27213146/
http://www.ncbi.nlm.nih.gov/pubmed/27243004,Front Cell Dev Biol,1464943747.584532,29681,1000,2,N-Terminal Ile-Orn- and Trp-Orn-Motif Repeats Enhance Membrane Interaction and Increase the Antimicrobial Activity of Apidaecins against Pseudomonas aeruginosa.,149,1464943750.264165,Front Cell Dev Biol. 2016 May 10;4:39. doi: 10.3389/fcell.2016.00039. eCollection 2016.,0:00:02.68,Frontiers in cell and developmental biology,"Bluhm ME, Schneider VA, Schäfer I, Piantavigna S, Goldbach T, Knappe D, Seibel P, Martin LL, Veldhuizen EJ, Hoffmann R.",1,Antibiotic,27243004,http://www.ncbi.nlm.nih.gov/pmc/articles/pmid/27243004/
http://www.ncbi.nlm.nih.gov/pubmed/27213145,N Am J Med Sci,1464943748.392833,29681,1000,42,Tocilizumab Efficacy in a Patient with Positive Anti-CCP Chronic Lyme Arthritis.,149,1464943750.62904,N Am J Med Sci. 2016 Apr;8(4):194-6. doi: 10.4103/1947-2714.179960.,0:00:02.24,North American journal of medical sciences,"Hirsch J, Rosner I, Rimar D, Kaly L, Rozenbaum M, Boulman N, Slobodin G.",1,Antibiotic,27213145,http://www.ncbi.nlm.nih.gov/pmc/articles/pmid/27213145/
http://www.ncbi.nlm.nih.gov/pubmed/27222712,New Microbes New Infect,1464943748.05153,29681,1000,29,Clinical features and outcome of bone and joint infections with streptococcal involvement: 5-year experience of interregional reference centres in the south of France.,149,1464943750.941612,New Microbes New Infect. 2016 Apr 13;12:8-17. doi: 10.1016/j.nmni.2016.03.009. eCollection 2016 Jul.,0:00:02.89,New microbes and new infections,"Seng P, Vernier M, Gay A, Pinelli PO, Legré R, Stein A.",1,Antibiotic,27222712,http://www.ncbi.nlm.nih.gov/pmc/articles/pmid/27222712/
http://www.ncbi.nlm.nih.gov/pubmed/27242991,Front Public Health,1464943750.272432,29681,1000,3,"Effect of Financially Punished Audit and Feedback in a Pediatric Setting in China, within an Antimicrobial Stewardship Program, and as Part of an International Accreditation Process.",149,1464943751.856654,Front Public Health. 2016 May 18;4:99. doi: 10.3389/fpubh.2016.00099. eCollection 2016.,0:00:01.58,Frontiers in public health,"Gong S, Qiu X, Song Y, Sun X, He Y, Chen Y, Li M, Luo R, He L, Wei Q, Shen S, Liu Y, Zhang L, Zhou W, Huang P, Mai J, Liu L, Xu Y, Liang H, Xia H.",1,Antibiotic,27242991,http://www.ncbi.nlm.nih.gov/pmc/articles/pmid/27242991/
http://www.ncbi.nlm.nih.gov/pubmed/27222621,Ethiop J Health Sci,1464943750.949753,29681,1000,30,Antibiotic Resistance Patterns of Common Gram-negative Uropathogens in St. Paul's Hospital Millennium Medical College.,149,1464943751.90924,Ethiop J Health Sci. 2016 Mar;26(2):93-100.,0:00:00.96,Ethiopian journal of health sciences,Mamuye Y.,1,Antibiotic,27222621,http://www.ncbi.nlm.nih.gov/pmc/articles/pmid/27222621/
http://www.ncbi.nlm.nih.gov/pubmed/27213052,J Ophthalmol,1464943750.636531,29681,1000,43,Spectrum and Sensitivity of Bacterial Keratitis Isolates in Auckland.,149,1464943752.744807,J Ophthalmol. 2016;2016:3769341. doi: 10.1155/2016/3769341. Epub 2016 Apr 26.,0:00:02.11,Journal of ophthalmology,"Marasini S, Swift S, Dean SJ, Ormonde SE, Craig JP.",1,Antibiotic,27213052,http://www.ncbi.nlm.nih.gov/pmc/articles/pmid/27213052/
http://www.ncbi.nlm.nih.gov/pubmed/27242973,Front Cell Infect Microbiol,1464943751.865563,29681,1000,4,Surface Proteins and Pneumolysin of Encapsulated and Nonencapsulated Streptococcus pneumoniae Mediate Virulence in a Chinchilla Model of Otitis Media.,149,1464943753.66804,Front Cell Infect Microbiol. 2016 May 18;6:55. doi: 10.3389/fcimb.2016.00055. eCollection 2016.,0:00:01.80,Frontiers in cellular and infection microbiology,"Keller LE, Bradshaw JL, Pipkins H, McDaniel LS.",1,Antibiotic,27242973,http://www.ncbi.nlm.nih.gov/pmc/articles/pmid/27242973/
