Doc ID,Clinical Trial,Multicenter Study,Comparative Study,Randomized Controlled Trial,Non-U.S. Gov't,"N.I.H., Extramural",Letter,Non-P.H.S.,Pragmatic Clinical Trial,Observational Study,Phase I,Phase II,Phase III,Phase IV,pval-1,pval-2,pval-3,pval-4,pval-5,n-1,n-2,n-3,n-4,n-5,funding-1,funding-2,funding-3,funding-4,funding-5,sections,characters,words,sentences,chars-per-word-mean,chars-per-word-stdev,words-per-sentence-mean,words-per-sentence-stdev,syallables-per-word-mean,syallables-per-word-stdev,ARI,hard-word-ratio,lexical-density,gunning-fog-index,coleman-liau-index,SMOG,flesch-kincaid-index,rand risk,score
11955536,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,35,70,100,0,Ministry of Research,Essex Pharma,0,0,0,20,27610,4918,162,4.761691745,3.418141278,30.35802469,20.86562071,1.204554697,0.9990936469,17.12,0.1305408703,0.2275315169,12.19542622,12.88917446,14.50157374,74.11627757,0,1
12767421,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0.001,0.017,0.01,0.007,0,40,720,0,0,0,AstraZeneca Pharmaceuticals,Jefferson Heart Institute,0,0,0,11,20853,3641,79,4.880252678,3.689522966,46.08860759,46.96020953,1.254875034,1.079450751,25.12,0.1667124416,0.2606426806,18.50212801,13.35066191,18.96437959,53.89263539,0,1
12461494,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,47,15,0,0,0,0,0,0,0,16,14899,2905,106,4.247504303,3.112836903,27.40566038,16.90915689,1.099483649,0.9478516752,15.62,0.1036144578,0.2240963855,11.00370993,9.940130809,12.75575152,86.00193802,0,1
11576883,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0.09,0.2,0.13,0.002,0.003,104,11,0,0,0,Abbott Laboratories Inc,0,0,0,0,23,31951,5521,178,4.904365151,3.435785272,31.01685393,23.88330261,1.294511864,1.033588299,17.62,0.1528708567,0.2197065749,12.46788992,13.71342873,15.56869262,65.83718958,0,0
10898425,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0.0001,0.005,0.001,0.015,0.002,0,0,0,0,0,AstraZeneca,Sahlgrenska University Hospital,Göteborg University,0,0,18,22796,3981,151,4.859834213,3.488451424,26.36423841,18.48115561,1.240894248,1.072336675,15.12,0.1416729465,0.2195428284,10.60236454,13.5708415,14.16978487,75.09564466,0,3
11197445,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Medical Department of Bayer Italy,0,0,0,0,23,29052,5656,109,4.376591231,3.521410092,51.88990826,165.04917,1.125,1.139772455,27.62,0.1522277228,0.2920792079,20.81685439,10.33828854,19.18494854,58.99174312,-1,5
11955734,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0.232,0.5,0.376,0.03,0,0,0,0,0,0,0,0,0,0,0,16,25774,4516,181,4.846324181,3.443109831,24.95027624,17.96703037,1.244242693,1.084507446,14.12,0.1476970771,0.2077059345,10.03918933,13.53645704,14.09561319,76.24753782,0,2
12767565,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.001,0.6,0.7,0.09,0,0,0,0,0,0,0,0,0,0,0,9,24280,4355,162,4.708610792,3.349604461,26.88271605,14.24688516,1.361882893,1.104959776,15.12,0.1843857635,0.1857634902,10.82684073,12.66631458,15.84787256,64.33375044,0,2.5
12461499,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,0,0,0,0,Medical Research Council of Canada,Canadian Institutes of Health Research,0,0,0,15,16646,3005,94,4.714475874,3.489523044,31.96808511,24.72926616,1.279201331,1.083027785,17.62,0.1740432612,0.2925124792,12.85685135,12.57677205,16.60419555,66.166961,0,5
10899481,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,30,0,0,0,0,0,0,0,0,10,12558,2317,78,4.529132499,3.147721958,29.70512821,21.17221223,1.245576176,0.9824287068,16.62,0.1277514027,0.2343547691,11.93315184,11.53690117,14.25777578,71.30855037,0,2
