9048676,3
10605527,3
9521264,3
6705744,3
11087790,3
342330,2.666666666666667
4617592,2.666666666666667
16398780,2.666666666666667
15172869,2.666666666666667
12103284,2.666666666666667
16731075,2.666666666666667
4595298,2.666666666666667
9609272,2.666666666666667
2558705,2.666666666666667
10881642,2.666666666666667
17489163,2.666666666666667
6307340,2.666666666666667
4204803,2.666666666666667
2803998,2.666666666666667
12381426,2.666666666666667
2276652,1
1530035,1
4073155,1
17845320,1
1407926,1
6708033,1
2206069,1
9916961,1
8238157,1
10580682,1
3548382,1
22873356,1
10601925,1
17601897,1
1319808,1
15121566,1
6145635,1
9388401,1
8333483,1
9215169,1
3796926,1
11531632,1
9824184,1
331952,1
11281506,1
6145635,1
3048103,1
9387512,1
4534190,2
364781,2
1335203,2
411644,2
14048801,2
8145983,2
6764962,2
6184179,2
6187216,2
6400082,2
3332675,2
9220235,2
9220235,2
19668521,2
19668521,2
7000171,2
3904820,2
3909544,2
819598,2
345533,2
111704,2
7000170,2
5079408,2
14249189,2
6191809,2
6360110,2
6347420,2
4550199,2
3309444,2
5300792,2
4909228,2
5305737,2
5759916,2
14281977,2
6200245,2
9194719,2
6409436,2
6372855,2
2505485,2
6375840,2
6760657,2
14123444,2
6364992,2
6762044,2
3508764,2
14116418,2
418546,2
6785059,2
18058384,2
943453,2
2086023,2
13931739,2
14193681,2
6165061,2
345534,2
5495528,2
6760030,2
3934457,2
4587701,2
166561,2
8529160,2
3922338,2
14123174,2
14123174,2
14123174,2
4892489,2
5255243,2
367558,2
7032303,2
1907535,2
16613718,2
577790,2
59039,2
308783,2
310269,2
80622,2
6422914,2
3030650,2
415912,2
6085640,2
1469780,2
6766733,2
2669938,2
3703481,2
4555825,2
7011037,2
6085640,2
6085640,2
6085640,2
7102707,2
7044411,2
16302862,3
23679058,3
17324628,3
19054400,3
21621394,3
17386059,3
23294191,3
4586680,2
2378834,2
5648247,2
17145735,2
4207990,2
8603630,2
8601999,2
1671434,2
7823066,2
3925335,2
3098555,2
8504794,2
6567853,2
14744821,2
16336365,2
22026529,4
12356614,4
6232524,4
2197681,4
1439060,4
6626112,4
23288282,4
10689659,4
6709586,4
9085389,4
883740,4
7360634,4
6942317,4
6942317,4
9532355,4
7183202,4
10024707,4
9818805,4
17359519,4
17698433,4
19885943,4
24030452,4
6347743,2
2144803,2
2447297,2
2646536,2
8721804,2
2893916,2
7901256,2
7051826,2
3277366,2
7038483,2
8409069,2
2503017,2
8505940,2
6188895,2
11440349,5
15820346,5
8956929,5
7641674,5
9152116,5
9109894,5
13842533,0
15784786,1
9584539,1
3551088,1
12360839,1
11302295,1
7994223,1
15126705,1
10493845,1
9335919,1
8978226,1
18067552,1
11832254,1
